id,location_id,person_id,name,st_first,ad_hist,ad_city,post_code,coords_lat,coords_long,description,adult_child,assoc_gender,communist_party_member,communist_party_orbit,assoc_country,cntry_jamaica,cntry_grenada,cntry_usa,cntry_canada,cntry_trinidad,cntry_ghana,cntry_kenya,cntry_ethiopia,cntry_sierra_l,cntry_uk,cntry_guyana,cntry_virgin,cntry_barbados,cntry_dominica,cntry_nigeria,cntry_botswn,cntry_uganda,cntry_sa,cntry_stluc,cntry_sudan,cntry_somalia,cntry_mali,cntry_mauritius,cntry_panama,cntry_stvincent,cntry_belize,cntry_liberia,cntry_gambia,second_gen,third_gen,carib_born,namerica_born,africa_born,day_month_yr,month_yr,year_first,year_last,link,prim_source,citation,entrant
i0191,l0031,p0111,G. Nigretti,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,G. Nigretti was a woman who was involved in the WASU hostel's social committee and helped organize dances and music performances,adult,female,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Matera 2015: 55),OA 28/01/20
i0192,l0031,p0112,Princess Remi Ademola,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Remi Ademola was a Nigerian Princess who was honourary treasurer of the WASU hostel and helped organize dances and music performances,adult,female,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1936,1936,,Black Publication,"(Matera 2015: 55), (CO 847/7/2)","OA 28/01/20, WW 31/03/20"
i0193,l0031,p0006,Learie Constantine,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Learie Constantine was a famous and accomplished Trinidadian cricketer who attended the first social at the WASU hostel in September 1935,adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Matera 2015: 55),OA 28/01/20
i0194,l0031,p0113,Norma Constantine,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Norma Constantine was a Trinidadian woman who attended the first social at the WASU hostel in September 1935.,adult,female,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Matera 2015: 55),OA 28/01/20
i0195,l0031,p0114,Hugh O. Beresford Wooding,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Hugh. O. Beresford Wooding was a Trinidadian man who attended the first social at the WASU hostel in September 1935,adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Matera 2015: 55),OA 28/01/20
i0196,l0067,p0115,Tinuade Adefolu,,WASU Hostel,London,NW1 9BS,51.545396,-0.129998,Tinuade Adefolu was a Nigerian woman who worked for the WASU on its social committee in the second half of the 1930s,adult,female,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,(Matera 2015: 55),OA 28/01/20
i0197,l0067,p0116,Adenrele Ademola,,WASU Hostel,London,NW1 9BS,51.545396,-0.129998,Adenrele Ademola was a Nigerian woman who worked for the WASU on its social committee in the second half of the 1930s,adult,female,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1941,1942,https://www.alamy.com/omoba-adenrele-ademola-daughter-of-alake-of-abeokuta-nigeria-calls-west-africa-1942-creator-unknown-image231239297.html,Black Publication,"(Matera 2015: 55), (CO 876/56)","OA 28/01/20, WW 23/03/20"
i0198,l0067,p0117,Titilola Folarin,,WASU Hostel,London,NW1 9BS,51.545396,-0.129998,Titilola Folarin was a Nigerian woman who worked for the WASU as Tresurer and was also on its social committee in the second half of the 1930s,adult,female,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1936,1936,,Black Publication,"(Matera 2015: 55), (CO 847/7/2)","OA 28/01/20, WW 31/03/20"
i0199,l0029,p0005,Jomo Kenyatta,,Aggrey House ,London,WC1N 2LX,51.52365,-0.11633,Jomo Kenyatta was a Kenyan student and activist and the future president of an independent Kenya who stayed at Aggrey House in the second half of the 1930s. A Colonial Office official patronisingly wrote he had seen him there 'meek and mild and very happy',adult,male,,,Kenya,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,(Matera 2015: 57),OA 28/01/20
i0200,l0067,p0107,Opeolu ('Olu) Obisanya (Solanke),,WASU Hostel,London,NW1 9BS,51.545396,-0.129998,"Opeolu ('Olu) Obisanya was a Nigerian who worked at Africa House in the late 1930s, helping run the restaurant which served African cuisine",adult,female,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,(Matera 2015: 58),OA 28/01/20
i0201,l0031,p0070,Eslanda Robeson,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,"Eslanda Robeson was an American anthropologist, author, actor and civil rights activist who visited the WASU hostel in 1935 and 1936",adult,female,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,(Matera 2015: 58),OA 28/01/20
i0202,l0031,p0002,Paul Robeson,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Paul Robeson was an American singer actor and socialist who visited the WASU hostel in 1935 and 1936,adult,male,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,(Matera 2015: 58),OA 28/01/20
i0203,l0031,p0019,Fela Sowande,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Fela Sowande was a Nigerian pianist who was often at the WASU hostel in Camden and helped run musical events there.,adult,male,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,(Matera 2015: 58),OA 28/01/20
i0204,l0031,p0118,Joe Kwesi Biney,62 Camden Road,,London,NW1 9DR,51.540539,-0.139921,Joe Kwesi Biney was a Ghanaian musician who played at the WASU in 1935 in a ceremony to honour the Robesons,adult,male,,,Ghana,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,1935,,,"(Matera 2015: 58, 188)","OA 28/01/20, WW 31/01/20"
i0205,l0097 ,p0119,John Carter,The Honourable Society of the Middle Temple ,,London,EC4Y 9AT,51.5125,-0.112,"John Carter was a Guyanese law student who read law at the Middle Temple, qualifying as a barrister in 1942.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1939,1942,,,(Oxford Companion 2007: 96),WW 29/01/20
i0206,l0023,p0093,Rudolph Dunbar,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,"Rudolph Dunbar was a Guyanese clarinetist and bandleader who conducted the London Philharmonic here in 1942. Dunbar attracted an audience of 7,000.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1942,1942,,,(Oxford Companion 2007: 135),WW 29/01/20
i0207,l0015,p0093,Rudolph Dunbar,Houses of Parliament,,London,SW1A 0AA,51.500364,-0.124337,"Rudolph Dunbar was a Guyanese clarinetist and bandleader who reported on the Commons debates here following the Italian invasion of Ethiopia. Dunbar was reporting for the ""Associated Negro Press"".",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1936,,,(Oxford Companion 2007: 135),WW 29/01/20
i0208,l0052,p0120,Nathaniel Fadipe,London School of Economics,,London,WC2A 2AE,51.513889,-0.116667,Nathaniel Fadipe was a Nigerian writer who studied for his PhD at LSE in the mid-1930s. Fedipe's PhD examined the Yoruba Tribe.,adult,male,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1934,1937,,,(Oxford Companion 2007: 163),WW 29/01/20
i0209,l0040,p0121,John W. Bubbles (Sublett),Alexandra Palace,,London,N22 7AY,51.593889,-0.13,"John W. Bubbles (Sublett) was an American vaudeville performer who appeared on the first regular TV broadcast from this location in November 1936 as one half of the act ""Buck and Bubbles"".",adult,male,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1936,1936,,,(Oxford Companion 2007: 169),WW 29/01/20
i0210,l0040,p0122,"Ford Lee ""Buck"" Washington",Alexandra Palace,,London,N22 7AY,51.593889,-0.13,"Ford Lee ""Buck"" Washington was an American vaudeville performer who appeared on the first regular TV broadcast from this location in November 1936 as one half of the act ""Buck and Bubbles"".",adult,male,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1936,1936,,,(Oxford Companion 2007: 169),WW 29/01/20
i0211,l0116,p0017,Adelaide Hall,Theatre Royal,,London,WC2B 5JF,51.512778,-0.120556,"Adelaide Hall was an American jazz singer and entertainer who appeared in ""The Sun Never Sets"" here in 1938. Hall was feted by the crowds- to the extent that she would settle to live in the UK for the rest of her life.",adult,female,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1938,,,,(Oxford Companion 2007: 205),WW 29/01/20
i0212,l0117,p0123,Teddy Hill,London Palladium,,London,W1F 7TF,51.514944,-0.140806,Teddy Hill was an American big band leader who led the Cotton Club Revue during a London visit in 1937.,adult,male,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1937,1937,https://flashbak.com/the-cotton-club-revue-visit-london-in-1937-22484/,,(Oxford Companion 2007: 235),WW 29/01/20
i0213,l0117,p0124,Dickie Wells,London Palladium,,London,W1F 7TF,51.514944,-0.140806,Dickie Wells was an American jazz trombonist who perfomed with the Cotton Club here in 1937.,adult,male,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1937,1937,https://flashbak.com/the-cotton-club-revue-visit-london-in-1937-22484/,,(Oxford Companion 2007: 235),WW 29/01/20
i0214,l0117,p0125,Dizzy Gillespie,London Palladium,,London,W1F 7TF,51.514944,-0.140806,Dizzy Gillespie was an American jazz trumpeter who performed with the Cotton Club here in 1937.,adult,male,,,USA,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1937,1937,https://flashbak.com/the-cotton-club-revue-visit-london-in-1937-22484/,,(Oxford Companion 2007: 235),WW 29/01/20
i0215,l0052,p0126,W. Arthur Lewis,London School of Economics,,London,WC2A 2AE,51.513889,-0.116667,"Arthur Lewis was a St Lucian economist who studied for his bachelor's and doctorate here, before becoming Britain's first black lecturer. Lewis, an economic genius, stayed at LSE before taking up a position in Manchester following the end of the war. He would later work for a number of newly-independent developing countries.",adult,male,,,St Lucia,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1933,1948,https://blogs.lse.ac.uk/lsehistory/2015/01/23/arthur-lewis-at-lse-one-of-our-best-teachers/,,(Oxford Companion 2007: 257),WW 30/01/20
i0216,l0118,p0127,Workneh Eshete (Charles Martin),,Ethiopian Legation,London,SW7 1AY,51.501567,-0.169974,"Workneh Eshete (Charles Martin) was an Ethiopian doctor and diplomat who was made minister to London ""Ethiopian Minister to the court of St James"" following the Italian invasion in 1935.",adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,,,,,WW 30/01/20
i0217,l0119,p0128,R.P. Zaphiro,"Anti Air War Memorial, Highbeam House",,London,IG8 0RD,51.616931,0.025664,"R.P. Zaphiro was the Secretary of the Imperial Ethiopian Legation who unveiled a monument against air warfare here in October 1935, following the invasion of Ethiopia by Italy.",adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,1935,https://historicengland.org.uk/listing/the-list/list-entry/1081040,,(https://historicengland.org.uk/listing/the-list/list-entry/1081040),WW 30/01/20
i0218,l0034,p0019,Fela Sowande,Senate House,,London,WC1E 7HU,51.52109,-0.128681,Fela Sowande was a Nigerian pianist who was music advisor to the Colonial Film Unit here from 1941 onwards.,adult,male,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1941,1945,,,(Oxford Companion: 463),WW 30/01/20
i0219,l0035,p0091,T.  Ras Makonnen,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who attended a rally for Ethiopia here in 1935. Makonnen found out about the rally by reading an evening paper.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1935,,,(King 1973: 113),WW 30/01/20
i0220,l0120,p0091,T.  Ras Makonnen,,Lyons Corner House,London,,unknown,unknown,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who took tea here following the rally for Ethiopia in 1935.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1935,,,(King 1973: 114),WW 30/01/20
i0221,l0121,p0091,T.  Ras Makonnen,Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who greated the Ethiopian Emperor here in 1936.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,03/06/1936,June 1936,1936,1936,,,(King 1973: 115),WW 30/01/20
i0222,l0121,p0047,Christopher Braithwaite (Jones),Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,"Christopher Braithwaite, who sometimes used the surname Jones, was originally from Barbados and after settling in London was part of the party greeting the Ethiopian Emperor here in 1936.",adult,male,,1,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,03/06/1936,June 1936,1936,1936,https://historicengland.org.uk/research/inclusive-heritage/another-england/your-stories/chris-braithwaite-aka-jones/,,(King 1973: 115),WW 30/01/20
i0223,l0121,p0129,Pamela Braithwaite,Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,"Pamela Braithwaite was the daughter of Chris, who presented flowers to the Ethiopian Emperor following his arrival here in 1936. Makonnen described Pamela as being ""dressed up fine""",child,female,,,Barbados,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,03/06/1936,June 1936,1936,1936,https://historicengland.org.uk/research/inclusive-heritage/another-england/your-stories/chris-braithwaite-aka-jones/,,(King 1973: 115),WW 30/01/20
i0224,l0121,p0130,Princess Tsehai,Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,"Princess Tsehai was the Princess of Ethiopia, who led the Ethiopian delegation that arrived at Waterloo Station.",child,female,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,03/06/1936,June 1936,1936,1936,,,(King 1973: 115),WW 30/01/20
i0225,l0121,p0046,Emperor Haile Selassie,Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,Haile Selassie was the exiled Emperor of Ethiopia who arrived here following a train journey from Plymouth in 1936.,adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,03/06/1936,June 1936,1936,1936,,,(King 1973: 115),WW 30/01/20
i0226,l0122,p0091,T.  Ras Makonnen,The British Museum,,London,WC1B 3DG,51.5195,-0.1269,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who studied Ethiopian history here following the Italian invasion in 1935.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1936,,,(King 1973: 115),WW 30/01/20
i0227,l0123,p0131,Bresiando,"Building next to ""The Sketch""",,London,,51.516725,-0.106473,"Bresiando was a Ghanaian man who was ""projecting himself as the leader of an independent African orthodox church"" who rented a building next to the Sketch- and who rented out the basement to Makonnen and Padmore. Besiando was in London to earn concessions for Ghanaian cocoa farmers.",adult,male,,,Ghana,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1937,,,,(King 1973: 118),WW 30/01/20
i0228,l0123,p0091,T.  Ras Makonnen,"Building next to ""The Sketch""",,London,,51.516725,-0.106473,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who founded the IASB here in 1937. Makonnen did all of the cleaning in the flat by himself.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1939,,,(King 1973: 118),WW 30/01/20
i0229,l0123,p0043,George Padmore,"Building next to ""The Sketch""",,London,,51.516725,-0.106473,George Padmore was a Trinidadian activist who founded the IASB here in 1937.,adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,,,,(King 1973: 118),WW 30/01/20
i0230,l0118,p0132,Ato Emmanuel Abraham,,Ethiopian Legation,London,SW7 1AY,51.501567,-0.169974,"Ato Emmanuel Abraham was the first secretary of the Ethiopian legation and close friend of Makonnen. Abraham struggled to return to Ethiopia for many years, finally being granted permission to do so in 1943.",adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,1943,https://dacb.org/stories/ethiopia/emmanuel-abraham/,,(King 1973: 120),WW 30/01/20
i0231,l0138,p0132,Ato Emmanuel Abraham,12a Westbourne Grove,,London,W2 5RA,51.515798,-0.189133,"First secretary of the Ethiopian legation and close friend of Makonnen. At one point, Abraham was round Makonnen's house ""every day"".",adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,,,,(King 1973: 120),WW 30/01/20
i0232,l0099,p0091,T.  Ras Makonnen,Conway Hall,,London,WC1R 4RL,51.519774,-0.11836,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who sold copies of ""Life and Struggles of Negro Toilers"" here in the late 1930s.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1939,,,(King 1973: 120),WW 30/01/20
i0233,l0125,p0091,T.  Ras Makonnen,,Livingstone House,London,SW1H 0XH,51.499734,-0.133,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who sold copies of ""Life and Struggles of Negro Toilers"" here in the late 1930s.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1939,,,(King 1973: 120),WW 30/01/20
i0234,l0099,p0043,George Padmore,Conway Hall,,London,WC1R 4RL,51.519774,-0.11836,"George Padmore was a Trinidadian activist who sold copies of ""Life and Struggles of Negro Toilers"" here in the late 1930s and attended the rally in support of the Nigerian general strike held here in July 1945.",adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1945,,,"(King 1973: 120), (Adi 1998: 125)","WW 30/01/20, WW 03/02/20"
i0235,l0125,p0043,George Padmore,,Livingstone House,London,SW1H 0XH,51.499734,-0.133,"George Padmore was a Trinidadian activist who attended a National Peace Council meeting here in October 1935. Padmore rebuked the conference from the floor, calling for more African involvement. He went on to sell copies of ""Life and Struggles of Negro Toilers"" here in the late 1930s.",adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1939,,,"(King 1973: 120), (Pennybacker 2009: 88)","WW 30/01/20, WW 11/02/20"
i0236,l0058,p0133,Yakub Osman,Speaker's Corner,,London,W2 2EU,51.511904,-0.159366,"Yakub Osman was a Sudanese student and future ambassador to the Soviet Union who ""literally lived"" in Hyde Park at speaker's corner. ",adult,male,,,Sudan,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1937,1939,,,(King 1973: 186),WW 30/01/20
i0237,l0118,p0134,Taezaz,,Ethiopian Legation,London,SW7 1AY,51.501567,-0.169974,Taezaz was a friend of Makonnen's at the Ethiopian legation who helps to arrange his call for Americans to adopt Ethiopian children.,adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1936,1936,,,(King 1973: 198),WW 30/01/20
i0238,l0118,p0135,Teklehiwot / Tekle Hawariat ,,Ethiopian Legation,London,SW7 1AY,51.501567,-0.169974,Teklehiwot / Tekle Hawariat was a friend of T. Ras Makonnen's at the Ethiopian legation who helps to arrange his call for Americans to adopt Ethiopian children.,adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1936,1936,,,(King 1973: 198),WW 30/01/20
i0239,l0099,p0091,T.  Ras Makonnen,,Japanese Embassy,London,W1K 6JP,51.512436,-0.151023,"T. Ras Makonnen was a Guyanese activist and founder of the pan-African federation, who appealed here for Japanese ships to transport Ethiopian refugees to the US. Makonnen's appeals fell on deaf ears.",adult,male,,,Guyana,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1937,,,(King 1973: 199),WW 30/01/20
i0240,l0048,p0136,Edmundo Ros,Royal Academy of Music,,London,NW1 5HT,51.523371,-0.151721,Edmundo Ros was a Trinidadian vocalist and bandleader who studied here between 1937 and 1942.,adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1937,1942,,,(Matera 2015: 181),WW 30/01/20
i0241,l0127,p0136,Edmundo Ros,,The Embassy Club,London,W1S 4PB,51.508258,-0.139984,Edmundo Ros was a Trinidadian vocalist and bandleader who played in Marino Barreto's band here in 1938.,adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1938,,,,(Matera 2015: 181),WW 30/01/20
i0242,l0121,p0059,Una Marson,Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,Una Marson was a Jamaican journalist and media producer who was among the crowds waiting to greet Haile Selassie on his arrival at Waterloo in 1936.,adult,female,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,03/06/1936,June 1936,1936,1936,,,(Matera 2015: 63),OA 30/01/20
i0243,l0035,p0044,Amy Ashwood Garvey,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,"Amy Ashwood Garvey was an activist, business owner and the first wife of Marcus Garvey, who addressed several rallies in Trafalgar Square to protest the Italian invasion of Ethiopia. On one occasion in August 1935 you said: ""You have talked of 'The White Man's Burden'...now we are...standing between you and fascism'.",adult,female,,,Jamaica,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1935,1936,,,(Matera 2015: 65),OA 30/01/20
i0244,l0035,p0005,Jomo Kenyatta,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,Jomo Kenyatta was a Kenyan student and activist and the future president of an independent Kenya who addressed several rallies in Trafalgar Square to protest the Italian invasion of Ethiopia.,adult,male,,,Kenya,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,,,,(Matera 2015: 65),OA 30/01/20
i0245,l0128,p0136,Edmundo Ros,,The Mayfair Hotel,London,W1J 8LT,51.508166,-0.14384,Edmundo Ros was a Trinidadian vocalist and bandleader who played in Marino Barreto's band here in 1938.,adult,male,,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Matera 2015: 181),WW 30/01/20
i0246,l0129,p0032,Joe Deniz,,The Stoll Theatre,London,WC2A 2HT,51.514444,-0.118056,Joe Deniz was a British guitarrist who played here in the 1944 Jazz Jamboree,adult,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Cape Verde Isles,,,,,,,1944,1944,https://gypsyjazzuk.wordpress.com/36-2/the-deniz-dynasty/,,(Matera 2015: 182),WW 30/01/20
i0247,l0129,p0096,Clara Deniz,,The Stoll Theatre,London,WC2A 2HT,51.514444,-0.118056,"Clara Deniz was a black British pianist and the wife of Frank Deniz who played here in the 1944 Jazz Jamboree, alonside American big band leader Glenn Miller.",adult,female,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Barbados,,,,,,,1944,1944,,,(Matera 2015: 182),WW 30/01/20
i0248,l0129,p0137,Frank Deniz,,The Stoll Theatre,London,WC2A 2HT,51.514444,-0.118056,"Frank Deniz was a British guitarrist and husband of Clara Deniz who played here in 1944 Jazz Jamboree, alongside American big band leader Glenn Miller.",adult ,male,,,UK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Cape Verde Isles,,,,,,,1944,1944,,,(Matera 2015: 182),WW 30/01/20
i0249,l0121,p0092,H.O. Davies,Waterloo Station,,London,SE1 8SW,51.503179,-0.112316,Olagunju Davies was a Nigerian student in London who also reported on the arrival of Haile Selassie in London for the Nigerian Daily Times,adult,male,,,Nigeria,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,June 1936,1936,,,,(Matera 2015: 72),OA 30/01/20
i0250,l0035,p0138,Joseph Martin,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,"Joseph Martin was the Ethiopian Legate's son who was educated in the UK, and present at rallies against the Italian invasion in Trafalgar Square before being executed on his return to the country in 1937",adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,1935,,,(Matera 2015: 73),OA 30/01/20
i0251,l0035,p0139,Benjamin Martin,Trafalgar Square,,London,WC2N 5DN,51.508056,-0.128108,"Benjamin Martin was the Ethiopian Legate's son who was educated in the UK, and present at rallies against the Italian invasion in Trafalgar Square before being executed on his return to the country in 1937.",adult,male,,,Ethiopia,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1935,1935,,,(Matera 2015: 73),OA 30/01/20
i0252,l0131,p0043,George Padmore,,Essex Hall,London,,51.51283,-0.113165,George Padmore was a Trinidadian activist who became reacquainted with childhood friend C.L.R. James at a meeting of the League Against Imperialism here.,adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Matera 2015: 74),OA 30/01/20
i0253,l0131,p0003,C.L.R. James,,Essex Hall,London,,51.51283,-0.113165,C.L.R. James was a Trinidadian historian and activist who became reacquainted here with childhood friend George Padmore at a meeting of the League Against Imperialism.,adult,male,1,,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,(Matera 2015: 74),OA 30/01/20
i0254,l0132,p0057,Peter Blackman,,Empress Stadium,London,,51.487323,-0.199849,"Peter Blackman was a Marxist scholar, poet and chair of the Negro Welfare Association who spoke to a crowd of 10,000 at a rally here.",adult,male,1,,Barbados,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1938,1938,,,(Matera 2015: 75),OA 30/01/20
i0255,l0133,p0043,George Padmore,,"Bogey's Bar, Royal Hotel, Bloomsbury",London,,51.523851,-0.127212,George Padmore was a Trinidadian activist who was here as it was the temporary meeting place for activists associated with the IAFE who eventually formed the PAF.,adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1936,,,(Matera 2015: 80),OA 30/01/20
i0256,l0133,p0005,Jomo Kenyatta,,"Bogey's Bar, Royal Hotel, Bloomsbury",London,,51.523851,-0.127212,Jomo Kenyatta was a Kenyan student and activist and the future president of an independent Kenya who met other IAFE activists here.,adult,male,,,Kenya,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1936,1936,,,(Matera 2015: 80),OA 30/01/20
i0257,l0134,p0043,George Padmore,,"Regina Hotel, Bloomsbury",London,,unknown,unknown,George Padmore was a Trinidadian activist who was here as it was the temporary meeting place for activists associated with the IAFE who eventually formed the PAF.,adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,1936,,,(Matera 2015: 80),OA 30/01/20
i0258,l0134,p0005,Jomo Kenyatta,,"Regina Hotel, Bloomsbury",London,,unknown,unknown,Jomo Kenyatta was a Kenyan student and activist and the future president of an independent Kenya who met other IAFE activists here.,adult,male,,,Kenya,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1936,1936,,,(Matera 2015: 80),OA 30/01/20
i0259,l0094,p0043,George Padmore, 2 Calthorpe Street,,London,WC1X 0JS,51.524494,-0.115345,George Padmore was a Trinidadian activist who was a founding member of the Pan-African Federation which began here in 1936,adult,male,,1,Trinidad,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1936,,,,(Matera 2015: 80),OA 30/01/20
