id,location_id,person_id,name,image link,image credit,st_first,ad_hist,ad_city,post_code,coords_lat,coords_long,description,adult_child,assoc_gender,citation,entrant
i0214,l0117,p0125,Dizzy Gillespie,https://ago-item-storage.s3.us-east-1.amazonaws.com/5eb15a4e9d5c4f79b99c4a864e3293e5/iiif-service_music_musgottlieb_musgottlieb-03141_ver01_0001-full-pct_6.25-0-default.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHYaCXVzLWVhc3QtMSJIMEYCIQDGQGupVMTo33x7Qo7O%2BOmCT9wsJXzSBPThKIFppIJ5SgIhAPRUBJluy01PhtuAZq4cCurvo7cOCq0sLjZvA4xmUT%2FkKr0DCI%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQABoMNjA0NzU4MTAyNjY1IgyIl5sJUEpX8OPifBMqkQMpAk0G6V9TSnQiB0kxRDtiaTZtNYBhym18F%2FWwVgjH%2BMpCO0EP70U6jEt8btH1zGAqk1KKpydzsWcUD514kEzVGwk9RN4Lw3AkHJuPZ5yCAW9Ulnz5B9UhnrOc8rleMPoDEBlJYTD9rhMzBLsVNOu5D1dj5ctMImP4SQ74hTr%2B7hhE1bJmgtZ%2FXsDY5U0ZALQxRrIN%2BAnPtF5tKIrISr0VqQ6ARZ%2Fj0%2FYjrx4XzGmmAGjznbLNcbu7yrzE5xhPH%2Bn4dQCRnjsYuHyLgEOKdTF4Dl2viwuws%2FBL1uMvh1dr%2F2cDOAGLaaSsq5DccD%2Fn6uKJbD73JqVhu0nQf7%2Fptd%2B0zyHNc8GswgLYHESMcaWLNCgHP6pGNYdaB1xlarz33ThFZmQ5kQIeriJYoMvXRI6R%2F0j81fin%2FcTZb5qbGaWTV5mgUG0J6lRl0qxR622Ro58DfQ64T6PKCYcyT7379KidRH3cOCuEIqhk7exwTM2IuoYcdgsgTLmDmwiiXUX0KG3veMjWaPWoY4oOuNq6oG8yrDCf2vOBBjrqAYdkxUQcC01yZ6McO7cLrZwoQQPAKoe1vhs5OqLimkH16IS77B1%2FFxarGhvnEXakjcf%2BUTsUd%2Bc3D79Jg0bY47SzrjOr%2BM4KU5SOuAFzC4zz%2BmAmTlf1IlcbzWWogyU%2BXdlovd9qtYfeJeIkEAl%2BAObvIVlCFTUamTXXUdtua5s2pzBGwD9jTzgABJgZjQcLfKRUZI0uOHMIKN3OqzAnI0wJEb21yqFkcKP0QkgDenUg49JtK%2B%2FVgrJs9z5TZekeyyHPJQnfH%2B6Aj9klx6mXAjDI0qJMm2WKF5REBHDXuuRPQmki6wyM7q0hTw%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210301T143117Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE6ZLNUGIE%2F20210301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=32acf3dab457f636fed94804c95edda31bc919caff4a4edc7a2cc1a9d42896da,"Gottlieb, William P. Portrait of Dizzy Gillespie, New York, N.Y., ca. May. United States, 1947.",London Palladium,,London,W1F 7TF,51.514944,-0.140806,Dizzy Gillespie was an American jazz trumpeter who performed with the Cotton Club here in 1937.,adult,male,(Oxford Companion 2007: 235),WW 29/01/20
i0291,l0138,p0157,William Harrison,,,12a Westbourne Grove,,London,W2 5RA,51.515798,-0.189133,William Harrison was an African American who lived here.,adult,male,(Matera 2015: 82),OA 03/02/20
i0310,l0138,p0165,Lawrence Brown,https://ago-item-storage.s3.us-east-1.amazonaws.com/26c822a20f1a4ce78c8c5165877a76eb/iiif-service_music_musgottlieb_musgottlieb-00831_ver01_0001-full-pct_6.25-0-default.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEHYaCXVzLWVhc3QtMSJHMEUCIQD%2BTzLYTAloLKPuVPHZJqyZOfCf81A3ipQhTLZy65f%2FxgIgRldLgbAuqPzh%2Fd5LXZw6Lz2KD5zSjQiZUoO1NvWXj5QqvQMIjv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDAU1GhcaTdh8EEKR%2FyqRA9bHxbcr%2FUJ1XVJ7ppZ%2BpELqFBTOAAi8iLjVoV%2Bcg9hoN2V7%2F2m%2BrFxDGET%2Bo8tOIxYmZSvNRe%2Bs0uFfXV7LLpkrlHleQR9up3OQIDb8ZFDN1A8l8CqD9nfaW7hpJ4IM%2BLrBUB1Zf3q%2B4jFkrEiD57uxvpOm7JShd5VtFOcCHcbFo7CTWoBj7CH0DJYc8cBYxrsKqPy5X0mkKHg4AJotvEyFhOoogl%2BocQTk%2Bjh1sBsStbFpHc%2B7XdVBla8NILORQkjm9dZEgG11NEJtoeIdEc4QyXMcySDxYSJwQ5%2FaDqw%2B1oqRiPhd%2FkZ57UpGTHV4fCg10HT8f%2BNZWu8%2B%2Bl1YWcD4%2BpqNJmwcrSD6w6forE33W8ZDtAwVmFdptld1QMOMo29xjd8AImNEthtIlUJQmzBCfbLFuJYGHm80SAr3C5Fy8ZQduFC6W6LyVyZmE6fTbBMF3rZi%2BViF88LZjC%2F6VJR1BvysOUfDJa2qHsim29cvnOpZs0WOF3JugBoc0sVNYwtAmLZL9DKZZBYfzgjmNjOIMMPN84EGOusBgpv9GQoKdMme23Ii4FeYJ0C%2BPxJXFPMWqozbp9NMQVjp%2FyxC%2BahoCjT6jkIpxbAWI%2BBzNwi2aJ7nf%2By8RuUjJEKSLP1OgVSYhYUNz2ucfTZNg1UaA1l15k9eOiLBxnulvxkDVCus73ZBTZbKr5MKqqMhigAtOV05ZCOX84dt70gGhDSHkCd8nibz%2FCqn3CJCQhXniRDKUhf7JEAfGbJuKuTI5HJg9g%2FkVxg0YVenmaQ7EKEPBlXQ3baB807SYg5cQPHQrxqf7%2FvX1zem1XM1C5BmhO%2Bh67Pt2OFlI6ToWADupmw7c%2By0iNjSsg%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210301T143322Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEXF7OWGAS%2F20210301%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=6b42f6154815a0cda89906e702804f414b6dc3ac6227ec442a57c228050ae260,"Gottlieb, William P. Portrait of Lawrence Brown, Aquarium, New York, N.Y., ca. Nov. United States, 1946.",12a Westbourne Grove,,London,W2 5RA,51.515798,-0.189133,Lawrence Brown was an American man who attended early meetings of the IASB,adult,male,(Matera 2015: 82),OA 03/02/20
i0315,l0001,p0086,Ralph Bunche,https://upload.wikimedia.org/wikipedia/commons/d/d4/Ralph_Bunche_-_NARA_-_559196_%28cropped%29.jpg,"From ""Portraits of Outstanding Americans of Negro Origin"" Painted by Two Women Artists, ca. 1943 - ca. 1963. Held by the National Archives and Records Administration (NARA)",164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,Ralph Bunche was a future US diplomat and nobel prize winner who visited Harold Moody here in 1937. Bunche described Moody disparagingly afterwards.,adult,male,(Matera 2015: 230),WW 04/02/20
i0320,l0052,p0171,George Brown,,,London School of Economics,,London,WC2A 2AE,51.513889,-0.116667,George Brown was an American economic historian who studied at LSE in 1935. Brown was friends with Davies and Arthur Lewis,adult,male,(Matera 2015: 244),WW 04/02/20
i0321,l0001,p0171,George Brown,,,164 Queens Road,,London,SE15 2HP,51.472959,-0.054802,"George Brown was an American economic historian who served as publicity secretary in the LCP in 1935. At the end of 1935, Brown departed for Liberia.",adult,male,(Matera 2015: 244),WW 04/02/20
i0324,l0143,p0172,Lorenzo Turner,,,,School of Oriental and African Studies,London,SW1H 0AH,51.498818,-0.136941,Lorenzo Turner was an African American linguist who researcheed African language systems at SOAS in 1937.,adult,male,(Matera 2015: 247),WW 04/02/20
i0326,l0143,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,,School of Oriental and African Studies,London,SW1H 0AH,51.498818,-0.136941,Paul Robeson was an American singer actor and socialist who studies African linguistics here in the mid-1930s.,adult,male,(Matera 2015: 247),WW 04/02/20
i0340,l0088,p0086,Ralph Bunche,https://upload.wikimedia.org/wikipedia/commons/d/d4/Ralph_Bunche_-_NARA_-_559196_%28cropped%29.jpg,"From ""Portraits of Outstanding Americans of Negro Origin"" Painted by Two Women Artists, ca. 1943 - ca. 1963. Held by the National Archives and Records Administration (NARA)",19 Buckingham Street,,London,WC2N 6EF,51.508487,-0.123348,"Ralph Bunche was a future US diplomat and nobel prize winner who visited Paul Robeson here in 1937, where he met American activist Max Yergan. The visit laid the grounwork for the tea party at the Bunche's two days later.",adult,male,(Matera 2015: 289),WW 05/02/20
i0375,l0109,p0188,Maida Springer,https://upload.wikimedia.org/wikipedia/commons/d/d5/Maida_Springer_%28Kemp%29_poses_with_two_other_African_American_women._%285278493028%29.jpg,Unknown Provenance[EDIT],,14 The Mansions,London,NW6 1TE,51.551436,-0.192543,"Maida Springer was an American trade unionist, originally from Panama, who travelled from Harlem to London to attended many social and intellectual gathering at Una Marson's flat, recalling there was 'very explosive talk!'",adult,female,(Matera 2015: 139),OA 06/02/20
i0395,l0136,p0194,Henry Lee Moon,,,County Hall,,London,SE1 7GP,51.501944,-0.118889,"Henry Lee Moon was an American journalist who covered the WFTU congress here in 1945. First involved with the WFTU through the CIO, he became instrumental in securing black American involvement in the Manchester Pan-African Congress and promoting interest in the event. Besides covering international labor conferences, he familiarized African American audiences with African trade union leaders.",adult,male,(Von Eschen 1997: 48-9),WW 10/02/20
i0400,l0166,p0196,Ollie Stewart,,,,Albant House,London,,51.524119,-0.116487,"Ollie Stewart was an American reporter who solicited letters from 'American girls' for RAF member Vincent Bunting to be sent to his address here. One night at the House, Stewart awoke to a rat knawing at his chocolate bar. Stewart ate the chocolate, but then lay awake for the rest of the night as the rat scurried arond looking for it. ",adult,male,(BAA Sept 19 1942: 2),"OA 11/02/20, WW 19/02/20"
i0401,l0034,p0196,Ollie Stewart,,,Senate House,,London,,51.52109,-0.128681,Ollie Stewart was an American reporter who worked at the press room in the Ministry of Information and met George Padmore and Rudolph Dunbar while there,adult,male,(BAA Sept 26 1942: 3),OA 11/02/20
i0402,l0029,p0196,Ollie Stewart,,,,Aggrey House,London,WC1N 2LX,51.52365,-0.11633,"Ollie Stewart was an American reporter who reported meeting Oxford students and flyers from India, Africa and the West Indies while at Aggrey House in September 1942",adult,male,(BAA Sept 26 1942: 3),OA 11/02/20
i0403,l0167,p0196,Ollie Stewart,,,,American Embassy,,,51.511578,-0.149558,Ollie Stewart was an American reporter who reported comments made by Eleanor Roosevelt when she visited the US Embassy in October 1942,adult,male,(BAA October 31 1942: 2),OA 11/02/20
i0404,l0168,p0197,Elizabeth Phillips,,,,150th Station Hospital,London,,51.493923,-0.136502,Elizabeth Phillips was the first African American women to be sent to report on the war who was hospitalized here for a short period in late 1944 and early 1945,adult,female,(BAA December 2 1944: 1),OA 11/02/20
i0405,l0168,p0198,Randy Dixon,,,,150th Station Hospital,London,,51.493923,-0.136502,Randy Dixon was a correspondent for the Pittsburgh Courier who visited Elizabeth Phillips while she was in hospital in December 1944,adult,male,(BAA December 2 1944: 1),OA 11/02/20
i0406,l0168,p0199,Minnie Street,,,,150th Station Hospital,London,,51.493923,-0.136502,"Minnie Street, from Louisville Kentucky, was assistant director of a Red Cross unit who was hospitalized with appendicitus here for several months in 1944",adult,female,(BAA December 2 1944: 2),OA 11/02/20
i0407,l0168,p0200,George Williams,,,,150th Station Hospital,London,,51.493923,-0.136502,George Williams was an American from New York who spent time in his military hospital with a bad stomach before returning to the signal corp unit in France.,adult,male,(BAA December 2 1944: 2),OA 11/02/20
i0408,l0168,p0201,Milton Shaw,,,,150th Station Hospital,London,,51.493923,-0.136502,Milton Shaw was an American from LA who spent time in this hospital briefly havig arrived in the UK in 1942 as a clerk with a quartermaster unit.,adult,male,(BAA December 2 1944: 2),OA 11/02/20
i0409,l0023,p0202,Roland Hayes,https://tile.loc.gov/storage-services/service/pnp/van/5a52000/5a52000/5a52097_150px.jpg,"Van Vechten, Carl, photographer. Portrait of Roland Hayes. , 1954.",Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,Roland Hayes was a famous African American tenor who performed with a choir of 200 black GIs at an event here in 1943,adult,male,(Smith 1987: 164),OA 11/02/20
i0413,l0176,p0002,Paul Robeson,https://upload.wikimedia.org/wikipedia/commons/b/be/Paul_Robeson_1938.jpg,Photograph Taken by Yousuf Karsh in 1938. Photograph held by the National Archives in Canada,,New Burlington Galleries,London,W1S 3EP,51.51003,-0.140521,Paul Robeson was an American singer actor and socialist who performed here in 1938 to raise money in support of German refugees. Robeson's performance took place simultaneously to an exhibition on c-20th German art.,adult,male,(Pennybacker 2009: 220),WW 11/02/20
i0415,l0023,p0203,Esther Cooper,,,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,"Esther Cooper was an American activist who attended the World Youth Congress here in 1945. Signifying a major event in global decolonisation in the immediate postwar period, the gathering called for the end of Europeam colonial empires.",adult,female,(McDuffie 2011: 153),WW 12/02/20
i0418,l0023,p0204,W.E.B. Du Bois,https://upload.wikimedia.org/wikipedia/commons/1/12/WEB_DuBois_1918.jpg,Photo of W.E.B. DuBois taken in 1918. Held by the Library of Congress,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,"W.E.B. Du Bois was an American activist, historian and pan-African who attended the World Youth Conference here in November 1945. Signifying a major event in global decolonisation in the immediate postwar period, the gathering called for the end of Europeam colonial empires.",adult,male,(McDuffie 2011: 154),WW 13/02/20
i0433,l0195,p0209,George W. Goodman,,,,Rainbow Corner Red Cross Club,London,W1D 7ED,51.510705,-0.134226,"George W. Goodman was the African-American Director of the American Red Cross in London. He wrote that his mission was ""to indicate as nearly as possible that color really does not run off and that human impetus comes out of the mind, not the complexion.""",adult,male,(Goodman 1944: 3/4),WW 17/02/20
i0443,l0113,p0215,John Payne,,,,"Belfield House, New Barnet",London,,51.645709,-0.185567,John Payne was an African American singer who performed at the LCP's fifth annual garden party at Dr Cecil Belfield Clarke's house in 1936,adult,male,(Whittall 2012: 207),OA 17/02/20
i0449,l0029,p0215,John Payne,,,,Aggrey House,London,WC1N 2LX,51.52365,-0.11633,John Payne was an African American singer who performed at Aggrey House in June 1936.,adult,male,(Whittall 2011: 245),WW 19/02/20
i0450,l0040,p0028,Elisabeth Welch,,,Alexandra Palace,,London,N22 7AY,51.593889,-0.13,"Elisabeth Welch was an American singer, actress and entertainer who appeared on BBC Television from 1937 onwards, becoming a viewer's favourite. ",adult,female,(Newton 2011: 45),WW 19/02/20
i0451,l0063,p0196,Ollie Stewart,,,Piccadilly Circus,,London,W1J 9HS,51.509969,-0.134885,"Ollie Stewart was an American reporter who saw two ""coloured servicemen"" after watching a film here in 1942.",adult,male,(BAA Sept 19 1942: 2),WW 19/02/20
i0452,l0117,p0028,Elisabeth Welch,,,London Palladium,,London,W1F 7TF,51.514944,-0.140806,"Elisabeth Welch was an American singer, actress and entertainer who appeared in ""happy and glorious"" here in the mid-1940s, recieiving 40 per cent of the billing and performing for two hours a night. ",adult,female,(BAA March 2 1946),WW 19/02/20
i0453,l0023,p0218,Alexander B. Mapp,,,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,"Alexander B. Mapp was an American activist who attended the World Youth Conference here in 1945 as a representative of the ""Urban League"".",adult,male,(BAA October 27 1945),WW 19/02/20
i0454,l0201,p0219,Sgt. Christopher Lipscombe,,,,White City Stadium,London,W12 7TS,51.513891,-0.226721,Sgt. Christopher Lipscombe was a New Jersey GI who won a services track and field championship here in 1945.,adult,male,(BAA August 18 1945),WW 19/02/20
i0456,l0202,p0221,Whelton Whittle,,,,Liberty Club,London,WC1H 0HX,51.526663,-0.12966,"Whelton Whittle was a New York technician who was at the American Liberty Club in April 1944, and asked questions to ""brain trust"" representative J.A.Clark over tea.",adult,male,(BAA April 29 1944),WW 19/02/20
i0458,l0203,p0204,W.E.B. Du Bois,https://upload.wikimedia.org/wikipedia/commons/1/12/WEB_DuBois_1918.jpg,Photo of W.E.B. DuBois taken in 1918. Held by the Library of Congress,,King's Hall,London,E1 1RD,51.514834,-0.064155,"W.E.B. Du Bois was an American activist, historian and pan-African who spoke here to condemn the use of Indian troops in SE Asia.",adult,male,(Sherwood 2017-18),WW 26/02/20
i0462,l0018,p0223,William B. Black,,,Madame Tussauds,,London,NW1 5LR,51.522971,-0.154329,William B. Black was an American GI with 643rd Port Company who visited here whilst on leave. He later thought of the torture chamber room whilst crossing the Pacific.,adult,male,(Black 1947: 47),WW 13/03/20
i0463,l0202,p0223,William B. Black,,,,Liberty Club,London,WC1H 0HX,51.526663,-0.12966,"William B. Black was an American GI with 643rd Port Company who spend Christmas day here in 1944. He loved playing with the British children at the Party, who referred to him as a ""chocolate soldier"". ",adult,male,(Black 1947: 40),WW 13/03/20
i0464,l0205,p0224,Cleather H. Hathcock,,,,Curtis Green Building,London,SW1A 2JL,51.502789,-0.124192,"Cleather H. Hathcock was an American corporal from Alachua, Florida who attended the Criminial Investigation Department (CID) school here. He had a problem ""coordinating his typin' fingers with his noggin""",adult,male,(Black 1947: 92),WW 13/03/20
i0465,l0034,p0225,Thomas L. Mckinney,,,,"University of London, Institute of Education, ",London,WC1E 7HU,51.52109,-0.128681,"Thomas L.Mckinney was an American corporal from Farmville, North Carolina, who attended the Institute of Education School here. The nickname of this former teacher was ""the thin man"".",adult,male,(Black 1947: 101),WW 13/03/20
i0549,l0078,p0171,George Brown,,,,Student Movement House,London,WC1B 5DN,51.521337,-0.127485,George Brown was an American economic historian who attended monthly meetings of the Gold Coast Students' Association here.,adult,male,(CO 847/7/2),WW 30/03/20
i0589,l0244,p0072,Ellis Thompson Jackson,https://ago-item-storage.s3.us-east-1.amazonaws.com/4858b60b1fd14193a5479586a576615e/3426577806_bd480de54f_z.jpg?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEGoaCXVzLWVhc3QtMSJHMEUCIEXBPkcvSm4ff4nQ4CrEBvGhcIGMbZhnLA%2FU2%2BH486kWAiEAzWBlNlK%2FhIl94CxOJCvGUxe9sKhC7gXSI6hUeE7abgwqvQMIkv%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDBJhK4uGaCgxiuiVHSqRA%2FudG6XKR34CfxC8nIMRV7Fwe3U2RKYdMUhFwF4bd6vasy9zWFQ9hhSQnfJdyWgFgyQ4JXWKBYysD%2F50NFCEG%2FzVqyimxPfy%2Fq0Wf6RCXtULn%2B7u5nap6hRD%2FajOq%2FdN%2BuunkiZWPP6FfK5e2WkamiIzLWyCYxeb5f%2FgZFWGvb9yDDinIEGRSlX9znoTDBqEuwrL06wZJvSIv%2BVvBu3FERXeHedrfLWTPjhXN3KeN%2FWS%2B1L4JoQfvcbJ7QVXfdXtfSFuwk4ikJwDsirVwB7aDo8IeKrgw8%2Bu2Ph5TScfKPwoAMHzMhazcXVOqnc3hmMExTZ9cY0t07hMHSnywml4R4WwLZ9mmHKkAbuQPdSLjjIujq%2FIlkaN4hnCJ6ENOn0wrSDTtk3KsffDweN16xxsrWGqwovm3wt3tyeevGJYBT6WP0ild4euLP7CXGYAJYidsG42GhiUpdqlgzcNSSUYBrw%2B1me6DTBhIVr%2B5ZjSizHQPKsLh%2F6hghSoQZ7yVETbdUTUTJh9IfoNrhOy4YC3hkWvMLGbqYIGOusBKEHUKxxBc50NQsecKg6e%2FkwxXaBrtIK1fMtf%2BkgSua8BwhcAaenxy9RqXiu3wblzz4SQHNGSMqQP0MKRi20NE%2BY%2B3E%2F61QogH4igp77P747mC5lNCuv1Sld2kQg9DSdyJ668hfQx7HujsieYXG0DZx1XZrPf%2FNhUvjg8t4ducKZPpDEbPIaYi2R2xSoJMQxpYP5sfRxUefwBVzWuQV0Fl6kjgpoC0wmaJNbA1KvwjsAUH5ob443z6zmzeh7k5nKglpD31w3g7LBcFq4bSXtswwbfO7FNMj9YUThS2Mvlxx0wNpja0%2BZkbDpV8w%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210311T184211Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKEXVVSB5MC%2F20210311%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=622944e560ab4f96af5d25d1ec3d7e52409a319a578f3335918ebe3124406ecd,Ellis Jackson 1915,89 Sudbourne Road,,London,,51.458759,-0.120131,Ellis Jackson was an African American trombone player who lived at this address with his wife Jessie and other family members at the time of the 1939 Register,adult,male,(1939 Register: RG101/0357J/013/28),OA 31/03/20
i0590,l0244,p0292,Jessie Evelyn Jackson,,,89 Sudbourne Road,,London,,51.458759,-0.120131,"Jessie Jackson was African American trombone player Ellis Jackson's wife and lived here at the time of the 1939 Register, where her occupation was listed as 'Unpaid Domestic Duties'",adult,female,(1939 Register: RG101/0357J/013/28),OA 31/03/20
i0640,l0281,p0323,John Henry Lewis,https://en.wikipedia.org/wiki/John_Henry_Lewis#/media/File:John.Henry.Lewis.jpeg,Unknown provenance,,The Empire Pool,London,HA9 0AA,51.558083,-0.282972,John Henry Lewis was an American boxer who defended his light-heavyweight title in a dramatic bout with Englishman Len Harvey at the Empire Pools in 1936.,adult,male,(Boston Globe: November 8 1936),WW 01/04/20
i0641,l0261,p0324,Henry Armstrong,https://tile.loc.gov/storage-services/service/pnp/van/5a51000/5a51600/5a51656r.jpg,"Van Vechten, Carl, photographer. Portrait of Henry Armstrong. , 1937.",,National Sporting Club,London,WC2E 8JY,51.51213,-0.123928,Henry Armstrong was an American boxer who was made an honorary member of the National Sporting Club in 1939.,adult,male,(NYT: May 1939),WW 01/04/20
i0642,l0023,p0325,William B. Perkins,,,Royal Albert Hall,,London,SW7 2AP,51.501002,-0.177527,William B. Perkins was an American lieutenant and chaplain with an aviation unit who sung a solo at the Royal Albert Hall in late September 1943.,adult,male,(NYT: September 1943),WW 01/04/20
i0645,l0262,p0326,Lloyd Marshall,,,,Harringay Arena,London,N4 1ED,51.576257,-0.097697,"Lloyd Marshall was an American boxer from Cleveland, Ohio, who knocked out British light heavyweight champion Freddy Mills here in 1947.",adult,male,(NYT: June 4 1947),WW 02/04/20
i0649,l0265,p0329,Sidney Williams,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Sidney Williams was the American head of the Duchess Club in Mayfair, which catered to black servicemen. ",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0650,l0265,p0330,Magnolia Latimer,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Magnolia Latimer was an Atlantan who was transferred from Bristol to London to help run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0651,l0265,p0331,Lucille McAllister,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Lucille McAllister was a former teacher from Nebraska who helped run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0652,l0265,p0332,Daisy Carry,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Daisy Holmes was a former social worker from Philadelphia who helped run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0653,l0265,p0333,Long Harry K. Parker,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Harry Parker, nicknamed ""Long Harry"", was a former Livingston College American football coach who was programme director at the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0654,l0265,p0334,Chester Gray,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Chester Gray was an Ohioan who helped to run the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0655,l0265,p0335,Lavine Birch,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Lavine Birch was a Bostonian who helped to run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0656,l0265,p0336,Lucille Augustine,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Lucille Augustine was a former welfare officer from New Orleans who helped to run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0657,l0265,p0337,Martha Stafford,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Martha Stafford, formerly of the Indianapolis YWCA, helped to run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0658,l0265,p0338,Carol Jarrett,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Carol Jarret was a former social security executive from Denver who helped to run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0659,l0265,p0339,Elizabeth McDougald,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Elizabeth McDougald was a former social worker in NYC who helped to run the Duchess Club in Mayfair, which catered to black servicemen.",adult,female,(Chicago Defender: January 30 1943),WW 02/04/20
i0660,l0265,p0340,Ligon Beauford,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Ligon Beauford was a Chicagoan who visited the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0661,l0265,p0341,John K. Smith,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"John K. Smith was the Secretary of the Urban League in Boston, who visited the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0662,l0265,p0342,Peter Ridley,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Peter Ridley was a schoolteacher from Maryland who visited the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0663,l0265,p0343,Leonard Hill,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Leonard Hill was a junior probation officer from Washington who visited the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0664,l0265,p0344,George Hayes,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"George Hayes was a New York social worker who visited the Duchess Club in Mayfair, which catered to black servicemen.",adult,male,(Chicago Defender: January 30 1943),WW 02/04/20
i0667,l0265,p0346,Genevive Holmes,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Genevive Holmes was a former teacher from North Carolina who helped to run the Duchess Club in Mayfair, which catered to black servicemen. ",adult,male,"(The Crisis: March 1943, 76)",WW 02/04/20
i0668,l0265,p0347,James McCall,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"James McCall was an American Corporal who was pictured at the Duchess Club in the NAACP publication ""The Crisis"" in March 1943. ",adult,male,"(The Crisis: March 1943, 76)",WW 02/04/20
i0669,l0265,p0348,Wilson Perry,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Wilson Perry was an American Private who was pictured at the Duchess Club in the NAACP publication ""The Crisis"" in March 1943.",adult,male,"(The Crisis: March 1943, 76)",WW 02/04/20
i0670,l0265,p0349,Eddie B. Foster,,,,Duchess Street Club,London,W1W 6AN,51.519571,-0.14333,"Eddie B. Foster was an Staff Sargent from Alabama who was pictured at the Duchess Club in the NAACP publication ""The Crisis"" in March 1943.",adult,male,"(The Crisis: March 1943, 76)",WW 02/04/20
